"V2"	"V2.1"	"V2.2"
"387"	0.02262385	0.01696291	0.02980359
"388"	0.022943	0.0172378	0.03027502
"389"	0.0233863	0.01759559	0.03083947
"390"	0.02388655	0.01800211	0.03143258
"391"	0.0243646	0.01837543	0.03203657
"392"	0.02488004	0.01875032	0.03270255
"393"	0.0254051	0.01907385	0.03326044
"394"	0.02583126	0.0193233	0.03363531
"395"	0.02602126	0.01941102	0.03379659
"396"	0.02597099	0.01935784	0.03372761
"397"	0.02574307	0.01915411	0.03336065
"398"	0.02526449	0.01871469	0.03263511
"399"	0.02447953	0.01805747	0.03161344
"400"	0.02341711	0.01726134	0.03025644
"401"	0.02217184	0.01629481	0.02866703
"402"	0.0209574	0.01541435	0.02715282
"403"	0.01983328	0.01460572	0.02575904
"404"	0.01879655	0.01382871	0.02446302
"405"	0.01791622	0.01313813	0.02327005
"406"	0.01717333	0.01256752	0.02229349
"407"	0.01651854	0.01213547	0.02152013
"408"	0.01601079	0.01179501	0.0209244
"409"	0.01567683	0.0115292	0.02048414
"410"	0.0154949	0.01143281	0.02028234
"411"	0.01546108	0.011432	0.02022548
"412"	0.01554809	0.01149698	0.02029979
"413"	0.01573365	0.01162556	0.02055416
"414"	0.01598298	0.01183703	0.02088464
"415"	0.01620937	0.01204402	0.02116474
"416"	0.01645085	0.01220464	0.02149996
"417"	0.01653214	0.01222482	0.02162858
"418"	0.01645147	0.0121507	0.02154912
"419"	0.01627403	0.01200614	0.02134853
"420"	0.01605393	0.01187969	0.02105892
"421"	0.01587525	0.01176038	0.02081899
"422"	0.01578172	0.01163172	0.02072277
"423"	0.01577649	0.01161876	0.02066971
"424"	0.01588818	0.01171866	0.02082159
"425"	0.01606696	0.01183677	0.02109075
"426"	0.0163107	0.01199976	0.02144325
"427"	0.01655792	0.01219501	0.02176725
"428"	0.01682697	0.01241888	0.02215004
"429"	0.01720246	0.01266229	0.02260186
"430"	0.01761754	0.01290245	0.02308059
"431"	0.0179712	0.01315616	0.02351864
"432"	0.01835023	0.01344062	0.02399451
"433"	0.01867394	0.01362004	0.02436025
"434"	0.01897238	0.01376909	0.02468131
"435"	0.01925277	0.01393545	0.02501243
"436"	0.01944965	0.01409336	0.02522635
"437"	0.01961317	0.01422575	0.02537512
"438"	0.01978826	0.01431818	0.02551952
"439"	0.0198731	0.01433126	0.02562343
"440"	0.01990178	0.01440207	0.02567716
"441"	0.01990872	0.01440617	0.02558561
"442"	0.01983664	0.01436109	0.02546204
"443"	0.01969523	0.01425311	0.02532197
"444"	0.01957411	0.01419979	0.02513491
"445"	0.01939245	0.01412962	0.02488558
"446"	0.01920768	0.01399792	0.02461939
"447"	0.01900087	0.01387777	0.02433491
"448"	0.01879146	0.01375169	0.02404501
"449"	0.01851379	0.0135723	0.02364502
"450"	0.01823194	0.0134032	0.02326178
"451"	0.01794505	0.01320264	0.02288571
"452"	0.01765177	0.0130384	0.02251738
"453"	0.01735013	0.01286282	0.0221701
"454"	0.01708041	0.01269256	0.02185665
"455"	0.01684657	0.01251043	0.02149513
"456"	0.01667762	0.01239918	0.02120944
"457"	0.01652639	0.01228489	0.02103907
"458"	0.01638915	0.01221913	0.02092535
"459"	0.01628614	0.01215311	0.02075627
"460"	0.01615114	0.01206511	0.02057766
"461"	0.01604015	0.01197521	0.02043067
"462"	0.01595568	0.01194044	0.02032173
"463"	0.01595678	0.0119333	0.02029959
"464"	0.01602533	0.01196815	0.02038306
"465"	0.01614722	0.0120636	0.02056166
"466"	0.01637876	0.01222103	0.02081892
"467"	0.01663276	0.01237148	0.02109959
"468"	0.01683359	0.01251291	0.02139883
"469"	0.01707841	0.01267303	0.0217333
"470"	0.01742959	0.01292443	0.02214849
"471"	0.01779031	0.01318114	0.022577
"472"	0.01815534	0.01345182	0.02299304
"473"	0.0184333	0.01368841	0.02338709
"474"	0.018714	0.01390676	0.02378376
"475"	0.01896619	0.01409777	0.02408684
"476"	0.01906754	0.01420049	0.02425907
"477"	0.01903282	0.01422636	0.02425775
"478"	0.0188726	0.01418831	0.02410973
"479"	0.01864299	0.01403524	0.02383212
"480"	0.01842524	0.01384167	0.02350047
"481"	0.01819203	0.01365343	0.02322437
"482"	0.01801713	0.0135478	0.02304729
"483"	0.01792403	0.01347089	0.02290898
"484"	0.01790918	0.0134487	0.02286685
"485"	0.01789578	0.01340664	0.02282645
"486"	0.01786457	0.01335366	0.0227373
"487"	0.01778375	0.01327664	0.02259079
"488"	0.01762786	0.01317489	0.02243264
"489"	0.01750003	0.01309466	0.02226886
"490"	0.01740373	0.01305191	0.02211896
"491"	0.01732934	0.01298514	0.0220389
"492"	0.01735844	0.01295718	0.0220464
"493"	0.01740714	0.01295599	0.02207746
"494"	0.01750134	0.0130162	0.02219099
"495"	0.01761902	0.01310509	0.02233911
"496"	0.01778213	0.01323638	0.02249883
"497"	0.01791422	0.0133386	0.0226764
"498"	0.0180649	0.01347868	0.02293201
"499"	0.01825035	0.01362975	0.02319319
"500"	0.01842932	0.01377562	0.0234309
"501"	0.01863486	0.01391082	0.02367873
"502"	0.01875081	0.01403509	0.02385857
"503"	0.01877281	0.01411235	0.02394699
"504"	0.01875735	0.01410903	0.02396066
"505"	0.01861812	0.01402814	0.0238231
"506"	0.01837336	0.013865	0.02356982
"507"	0.01814773	0.01368796	0.02329176
"508"	0.01787955	0.01351162	0.02295317
"509"	0.01757134	0.01327803	0.02256469
"510"	0.01722028	0.0130267	0.02211312
"511"	0.01686111	0.01274249	0.02165587
"512"	0.01652161	0.01250538	0.02121154
"513"	0.01620029	0.01228683	0.02079854
"514"	0.01597981	0.01214806	0.02051549
"515"	0.01579494	0.01197206	0.02028119
"516"	0.01565543	0.01188258	0.02011685
"517"	0.01555156	0.01186765	0.01999791
"518"	0.01547986	0.0118562	0.01995236
"519"	0.01547578	0.01187144	0.01995291
"520"	0.0155289	0.01188984	0.0200045
"521"	0.01554651	0.01189059	0.0200353
"522"	0.01556915	0.01191296	0.020076
"523"	0.01565127	0.0119734	0.02016495
"524"	0.01571918	0.0120231	0.02027718
"525"	0.01583377	0.0120981	0.02042629
"526"	0.01600202	0.01221758	0.02064404
"527"	0.01621924	0.01234195	0.02087831
"528"	0.01642562	0.0124618	0.0210513
"529"	0.01659379	0.01258005	0.02123738
"530"	0.01672517	0.01266987	0.02145377
"531"	0.01677483	0.0127103	0.02156478
"532"	0.01683903	0.01274767	0.02163011
"533"	0.01684502	0.01279963	0.02164815
"534"	0.01690114	0.01284334	0.02165801
"535"	0.01688243	0.01277899	0.02162155
"536"	0.0167355	0.01270814	0.02146503
"537"	0.01660105	0.01263572	0.0212913
"538"	0.01641719	0.01250024	0.0210494
"539"	0.01620627	0.01233368	0.02078402
"540"	0.01596885	0.01215892	0.0205083
"541"	0.01571063	0.01201465	0.02023677
"542"	0.0155427	0.01192543	0.02004381
"543"	0.01542283	0.01181742	0.01986919
"544"	0.01530437	0.01167227	0.01967386
"545"	0.01522986	0.01161339	0.01957346
"546"	0.01516401	0.01158264	0.01952104
"547"	0.01506281	0.01147883	0.01936322
"548"	0.01499102	0.01138528	0.01923034
"549"	0.01496951	0.01131474	0.01912414
"550"	0.01481925	0.01120177	0.01896504
"551"	0.01469311	0.01116282	0.01889634
"552"	0.01469797	0.01126165	0.01897629
"553"	0.01465311	0.01120651	0.01891141
"554"	0.01438923	0.01092842	0.01852175
"555"	0.01394178	0.01062768	0.01795765
"556"	0.01340801	0.01033907	0.01728239
"557"	0.01288125	0.01010842	0.01674067
"558"	0.01230307	0.009775912	0.01606264
